,columns,missing values count
282,Sensor - 283,24
283,Sensor - 284,24
284,Sensor - 285,36
285,Sensor - 286,36
286,Sensor - 287,36
287,Sensor - 288,36
288,Sensor - 289,36
289,Sensor - 290,36
290,Sensor - 291,0
291,Sensor - 292,0
292,Sensor - 293,9252
293,Sensor - 294,9252
294,Sensor - 295,12
295,Sensor - 296,12
296,Sensor - 297,12
297,Sensor - 298,12
298,Sensor - 299,12
299,Sensor - 300,12
300,Sensor - 301,12
301,Sensor - 302,12
302,Sensor - 303,12
303,Sensor - 304,12
304,Sensor - 305,12
305,Sensor - 306,0
306,Sensor - 307,0
307,Sensor - 308,0
308,Sensor - 309,0
309,Sensor - 310,0
310,Sensor - 311,0
311,Sensor - 312,0
312,Sensor - 313,0
313,Sensor - 314,168
314,Sensor - 315,168
315,Sensor - 316,0
316,Sensor - 317,0
317,Sensor - 318,0
318,Sensor - 319,0
319,Sensor - 320,0
320,Sensor - 321,0
321,Sensor - 322,0
322,Sensor - 323,0
323,Sensor - 324,0
324,Sensor - 325,0
325,Sensor - 326,0
326,Sensor - 327,12
327,Sensor - 328,12
328,Sensor - 329,12
329,Sensor - 330,12
330,Sensor - 331,12
331,Sensor - 332,12
332,Sensor - 333,60
333,Sensor - 334,60
334,Sensor - 335,60
335,Sensor - 336,60
336,Sensor - 337,60
337,Sensor - 338,60
338,Sensor - 339,60
339,Sensor - 340,60
340,Sensor - 341,60
341,Sensor - 342,60
342,Sensor - 343,60
343,Sensor - 344,60
344,Sensor - 345,60
345,Sensor - 346,6360
346,Sensor - 347,6360
347,Sensor - 348,60
348,Sensor - 349,288
349,Sensor - 350,288
350,Sensor - 351,288
351,Sensor - 352,288
352,Sensor - 353,288
353,Sensor - 354,288
354,Sensor - 355,288
355,Sensor - 356,288
356,Sensor - 357,12
357,Sensor - 358,24
358,Sensor - 359,7332
359,Sensor - 360,0
360,Sensor - 361,0
361,Sensor - 362,0
362,Sensor - 363,612
363,Sensor - 364,612
364,Sensor - 365,60
365,Sensor - 366,24
366,Sensor - 367,24
367,Sensor - 368,60
368,Sensor - 369,60
369,Sensor - 370,60
370,Sensor - 371,60
371,Sensor - 372,60
372,Sensor - 373,60
373,Sensor - 374,60
374,Sensor - 375,60
375,Sensor - 376,60
376,Sensor - 377,24
377,Sensor - 378,24
378,Sensor - 379,60
379,Sensor - 380,60
380,Sensor - 381,60
381,Sensor - 382,60
382,Sensor - 383,3456
383,Sensor - 384,3456
384,Sensor - 385,3456
385,Sensor - 386,6684
386,Sensor - 387,0
387,Sensor - 388,0
388,Sensor - 389,0
389,Sensor - 390,0
390,Sensor - 391,0
391,Sensor - 392,288
392,Sensor - 393,0
393,Sensor - 394,0
394,Sensor - 395,36
395,Sensor - 396,36
396,Sensor - 397,36
397,Sensor - 398,36
398,Sensor - 399,36
399,Sensor - 400,36
400,Sensor - 401,36
401,Sensor - 402,36
402,Sensor - 403,36
403,Sensor - 404,36
404,Sensor - 405,36
405,Sensor - 406,36
406,Sensor - 407,36
407,Sensor - 408,36
408,Sensor - 409,0
409,Sensor - 410,12
410,Sensor - 411,36
411,Sensor - 412,156
412,Sensor - 413,156
413,Sensor - 414,156
414,Sensor - 415,156
415,Sensor - 416,156
416,Sensor - 417,96
417,Sensor - 418,24
418,Sensor - 419,24
419,Sensor - 420,24
420,Sensor - 421,24
421,Sensor - 422,24
422,Sensor - 423,36
423,Sensor - 424,36
424,Sensor - 425,36
425,Sensor - 426,36
426,Sensor - 427,36
427,Sensor - 428,36
428,Sensor - 429,0
429,Sensor - 430,0
430,Sensor - 431,12
431,Sensor - 432,12
432,Sensor - 433,12
433,Sensor - 434,12
434,Sensor - 435,12
435,Sensor - 436,12
436,Sensor - 437,12
437,Sensor - 438,12
438,Sensor - 439,12
439,Sensor - 440,12
440,Sensor - 441,12
441,Sensor - 442,0
442,Sensor - 443,0
443,Sensor - 444,0
444,Sensor - 445,0
445,Sensor - 446,0
446,Sensor - 447,0
447,Sensor - 448,0
448,Sensor - 449,0
449,Sensor - 450,168
450,Sensor - 451,168
451,Sensor - 452,0
452,Sensor - 453,0
453,Sensor - 454,0
454,Sensor - 455,0
455,Sensor - 456,0
456,Sensor - 457,0
457,Sensor - 458,0
458,Sensor - 459,0
459,Sensor - 460,0
460,Sensor - 461,0
461,Sensor - 462,0
462,Sensor - 463,12
463,Sensor - 464,12
464,Sensor - 465,12
465,Sensor - 466,12
466,Sensor - 467,12
467,Sensor - 468,12
468,Sensor - 469,60
469,Sensor - 470,60
470,Sensor - 471,60
471,Sensor - 472,60
472,Sensor - 473,60
473,Sensor - 474,60
474,Sensor - 475,60
475,Sensor - 476,60
476,Sensor - 477,60
477,Sensor - 478,60
478,Sensor - 479,60
479,Sensor - 480,60
480,Sensor - 481,60
481,Sensor - 482,60
482,Sensor - 483,288
483,Sensor - 484,288
484,Sensor - 485,288
485,Sensor - 486,288
486,Sensor - 487,288
487,Sensor - 488,288
488,Sensor - 489,288
489,Sensor - 490,288
490,Sensor - 491,12
491,Sensor - 492,24
492,Sensor - 493,7332
493,Sensor - 494,0
494,Sensor - 495,0
495,Sensor - 496,0
496,Sensor - 497,612
497,Sensor - 498,612
498,Sensor - 499,60
499,Sensor - 500,24
500,Sensor - 501,24
501,Sensor - 502,60
502,Sensor - 503,60
503,Sensor - 504,60
504,Sensor - 505,60
505,Sensor - 506,60
506,Sensor - 507,60
507,Sensor - 508,60
508,Sensor - 509,60
509,Sensor - 510,60
510,Sensor - 511,24
511,Sensor - 512,24
512,Sensor - 513,60
513,Sensor - 514,60
514,Sensor - 515,60
515,Sensor - 516,60
516,Sensor - 517,3456
517,Sensor - 518,3456
518,Sensor - 519,3456
519,Sensor - 520,6684
520,Sensor - 521,0
521,Sensor - 522,0
522,Sensor - 523,0
523,Sensor - 524,0
524,Sensor - 525,0
525,Sensor - 526,288
526,Sensor - 527,0
527,Sensor - 528,0
528,Sensor - 529,36
529,Sensor - 530,36
530,Sensor - 531,36
531,Sensor - 532,36
532,Sensor - 533,36
533,Sensor - 534,36
534,Sensor - 535,36
535,Sensor - 536,36
536,Sensor - 537,36
537,Sensor - 538,36
538,Sensor - 539,36
539,Sensor - 540,36
540,Sensor - 541,36
541,Sensor - 542,36
542,Sensor - 543,24
543,Sensor - 544,24
544,Sensor - 545,24
545,Sensor - 546,24
546,Sensor - 547,876
547,Sensor - 548,876
548,Sensor - 549,876
549,Sensor - 550,876
550,Sensor - 551,876
551,Sensor - 552,876
552,Sensor - 553,876
553,Sensor - 554,876
554,Sensor - 555,876
555,Sensor - 556,876
556,Sensor - 557,876
557,Sensor - 558,876
558,Sensor - 559,0
559,Sensor - 560,0
560,Sensor - 561,0
561,Sensor - 562,0
562,Sensor - 563,180
563,Sensor - 564,180
564,Sensor - 565,180
565,Sensor - 566,180
566,Sensor - 567,180
567,Sensor - 568,180
568,Sensor - 569,180
569,Sensor - 570,180
570,Sensor - 571,0
571,Sensor - 572,0
572,Sensor - 573,0
573,Sensor - 574,0
574,Sensor - 575,0
575,Sensor - 576,0
576,Sensor - 577,0
577,Sensor - 578,0
578,Sensor - 579,6024
579,Sensor - 580,6024
580,Sensor - 581,6024
581,Sensor - 582,6024
582,Sensor - 583,0
583,Sensor - 584,0
584,Sensor - 585,0
585,Sensor - 586,0
586,Sensor - 587,0
587,Sensor - 588,0
588,Sensor - 589,0
589,Sensor - 590,0
